TC_ID,Module,Test Scenario,Test Case Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_001,Authentication,Generate Auth Token,Verify token generation with valid credentials,API available,Send POST /auth request,Valid username/password,Token generated successfully,High,Positive
TC_002,Authentication,Invalid Password,Verify authentication failure with invalid password,API available,Send POST /auth request,Invalid password,Authentication failed message,High,Negative
TC_003,Authentication,Invalid Username,Verify authentication failure with invalid username,API available,Send POST /auth request,Invalid username,Authentication failed message,High,Negative
TC_004,Authentication,Blank Credentials,Verify authentication with empty credentials,API available,Send POST /auth request,Empty values,Validation error displayed,High,Validation
TC_005,Authentication,SQL Injection Attempt,Verify API rejects malicious input,API available,Send POST /auth request,SQL injection string,Request rejected securely,High,Security
TC_006,Create Booking,Create Booking Valid Data,Verify booking creation with valid payload,API available,Send POST /booking,Valid booking JSON,Booking created successfully,High,Positive
TC_007,Create Booking,Missing First Name,Verify mandatory field validation,API available,Send POST /booking,Firstname missing,Validation error,High,Negative
TC_008,Create Booking,Missing Last Name,Verify mandatory field validation,API available,Send POST /booking,Lastname missing,Validation error,High,Negative
TC_009,Create Booking,Missing Dates,Verify booking date validation,API available,Send POST /booking,Checkin/Checkout missing,Validation error,High,Negative
TC_010,Create Booking,Invalid Date Format,Verify API handles invalid date format,API available,Send POST /booking,2026/15/45,Validation error,Medium,Validation
TC_011,Create Booking,Maximum Name Length,Verify maximum field length handling,API available,Send POST /booking,255-character name,Booking created or validation shown,Medium,Boundary
TC_012,Create Booking,Minimum Name Length,Verify minimum valid field length,API available,Send POST /booking,Single character name,Booking processed successfully,Medium,Boundary
TC_013,Create Booking,Special Characters,Verify special character handling,API available,Send POST /booking,@#$%^&*,Validation handled correctly,Medium,Validation
TC_014,Create Booking,Null Values,Verify handling of null inputs,API available,Send POST /booking,Null fields,Validation error,High,Negative
TC_015,Create Booking,Large Payload,Verify API handles large payloads,API available,Send POST /booking,Large JSON payload,System handles request properly,Medium,Boundary
TC_016,Get Booking,Valid Booking ID,Retrieve booking using valid ID,Existing booking,Send GET /booking/{id},Valid ID,Booking details returned,High,Positive
TC_017,Get Booking,Invalid Booking ID,Retrieve booking using invalid ID,API available,Send GET request,Invalid ID,Error response returned,High,Negative
TC_018,Get Booking,Non-existing Booking ID,Retrieve booking not present in system,API available,Send GET request,Non-existing ID,Not Found response,Medium,Negative
TC_019,Get Booking,Boundary Booking ID,Verify lowest valid booking ID,Existing booking,Send GET request,Minimum ID,Booking details returned,Medium,Boundary
TC_020,Get Booking,Large Booking ID,Verify handling of large booking ID,API available,Send GET request,Large ID value,Error handled correctly,Medium,Boundary
TC_021,Get Booking,Response Schema Validation,Verify response structure,Existing booking,Send GET request,Valid ID,Response matches schema,High,Validation
TC_022,Get Booking,Response Content Validation,Verify returned data accuracy,Existing booking,Send GET request,Valid ID,Correct booking details returned,High,Validation
TC_023,Update Booking,Valid Update,Verify booking update with valid data,"Booking exists, Token available",Send PUT request,Updated payload,Booking updated successfully,High,Positive
TC_024,Update Booking,Unauthorized Update,Verify update without token,Booking exists,Send PUT request,No token,Unauthorized response,High,Negative
